Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,0,diMuon_pt,ZCR,4584350,4164806.0104475403,4162428.702213222,1.100735541703508,2377.3082343181595,4581972.691765682,1.1007930752854413
2022,0,n_jet,ZCR,4584350,4164806.0104475417,4162428.702213222,1.1007355417035078,2377.3082343195565,4581972.691765681,1.1007930752854411
2022,0,diMuon_mass,ZCR,4584350,4164806.0104475417,4162428.702213222,1.1007355417035078,2377.3082343195565,4581972.691765681,1.1007930752854411
2022EE,0,diMuon_pt,ZCR,12626226,13092325.37046733,13084791.309780085,0.9643990385757811,7534.060687243938,12618691.939312756,0.9643785399833662
2022EE,0,n_jet,ZCR,12626226,13092325.679564694,13084791.309780085,0.9643990158072365,7534.369784608483,12618691.630215392,0.9643785163607224
2022EE,0,diMuon_mass,ZCR,12626226,13092325.679564696,13084791.309780085,0.9643990158072364,7534.369784610346,12618691.63021539,0.9643785163607221
2023,0,diMuon_pt,ZCR,9258511,9291549.76812364,9286219.46390514,0.9964442134037763,5330.30421849899,9253180.695781501,0.996442172376815
2023,0,n_jet,ZCR,9258511,9291549.957342798,9286219.46390514,0.9964441931115391,5330.493437657133,9253180.506562343,0.9964421520004758
2023,0,diMuon_mass,ZCR,9258511,9291549.957342798,9286219.46390514,0.9964441931115391,5330.493437657133,9253180.506562343,0.9964421520004758
2023BPix,0,diMuon_pt,ZCR,4843192,4968589.632925341,4965723.965686125,0.9747619259810936,2865.6672392161563,4840326.332760784,0.974747361353177
2023BPix,0,n_jet,ZCR,4843192,4968589.763964087,4965723.965686125,0.9747619002732798,2865.7982779620215,4840326.201722038,0.9747473349645281
2023BPix,0,diMuon_mass,ZCR,4843192,4968589.763964084,4965723.965686125,0.9747619002732804,2865.7982779592276,4840326.201722041,0.9747473349645287
2022,1,diMuon_pt,ZCR,1363664,1403651.6998249616,1398868.223907115,0.9715116650163654,4783.475917846663,1358880.5240821533,0.9714142482175527
2022,1,n_jet,ZCR,1363664,1403659.9128787173,1398875.6262875814,0.9715059805357759,4784.286591135897,1358879.713408864,0.9714085283015039
2022,1,diMuon_mass,ZCR,1363664,1403659.912878717,1398875.6262875814,0.9715059805357761,4784.286591135664,1358879.7134088643,0.9714085283015041
2022EE,1,diMuon_pt,ZCR,3660023,4577908.247310357,4563003.453084208,0.7994968012192819,14904.794226149097,3645118.205773851,0.7988418687936903
2022EE,1,n_jet,ZCR,3660023,4577967.203051754,4563060.378408171,0.7994865051807631,14906.824643583037,3645116.175356417,0.7988314580724483
2022EE,1,diMuon_mass,ZCR,3660023,4577967.203051754,4563060.378408171,0.7994865051807631,14906.824643583037,3645116.175356417,0.7988314580724483
2023,1,diMuon_pt,ZCR,2481417,3124136.7383307023,3113317.108716551,0.7942728528988389,10819.629614151083,2470597.370385849,0.7935578947190316
2023,1,n_jet,ZCR,2481417,3124179.740570016,3113358.49913818,0.794261920265592,10821.241431836039,2470595.758568164,0.7935468270846606
2023,1,diMuon_mass,ZCR,2481417,3124179.7405700153,3113358.49913818,0.7942619202655922,10821.241431835108,2470595.758568165,0.793546827084661
2023BPix,1,diMuon_pt,ZCR,1277501,1670092.7252404054,1664275.9862299568,0.7649281867365222,5816.739010448568,1271684.2609895514,0.7641065974101244
2023BPix,1,n_jet,ZCR,1277501,1670124.5856926865,1664307.0749965317,0.7649135944371208,5817.510696154786,1271683.4893038452,0.7640918604557968
2023BPix,1,diMuon_mass,ZCR,1277501,1670124.5856926865,1664307.0749965317,0.7649135944371208,5817.510696154786,1271683.4893038452,0.7640918604557968
2022,2,diMuon_pt,ZCR,570996,478557.4588699987,461589.73028517514,1.1931607990151762,16967.728584823548,554028.2714151765,1.2002612603033689
2022,2,n_jet,ZCR,570996,478632.5847986037,461666.8436222151,1.1929735210991965,16965.741176388634,554030.2588236113,1.2000650825966133
2022,2,diMuon_mass,ZCR,570996,478644.2074507492,461666.8436222151,1.192944552784029,16977.363828534086,554018.636171466,1.2000399071864536
2022EE,2,diMuon_pt,ZCR,1485906,1575094.8612623771,1527186.1425780691,0.9433755620338348,47908.718684308,1437997.281315692,0.941599220438305
2022EE,2,n_jet,ZCR,1485906,1575255.5449820487,1527365.2590507902,0.9432793331426953,47890.28593125846,1438015.7140687415,0.941500865983048
2022EE,2,diMuon_mass,ZCR,1485906,1575334.070455192,1527407.6754674353,0.9432323136200871,47926.39498775662,1437979.6050122434,0.9414510795699491
2023,2,diMuon_pt,ZCR,945528,1024267.5800739893,986636.4484254494,0.9231259666850907,37631.131648539915,907896.8683514601,0.920193927358301
2023,2,n_jet,ZCR,945528,1024438.9925994058,986806.9702815786,0.922971506190742,37632.02231782721,907895.9776821728,0.9200340137677695
2023,2,diMuon_mass,ZCR,945528,1024476.8987549369,986823.3607077375,0.9229373557852942,37653.53804719937,907874.4619528006,0.9199969296447181
2023BPix,2,diMuon_pt,ZCR,482950,551925.0573797685,531812.2726560191,0.8750282190353461,20112.784723749384,462837.2152762506,0.8703018698021244
2023BPix,2,n_jet,ZCR,482950,552038.6324759729,531926.2224973992,0.8748481928409604,20112.409978573676,462837.5900214263,0.8701161372500099
2023BPix,2,diMuon_mass,ZCR,482950,552066.374221734,531940.9147686318,0.8748042310688282,20125.4594531022,462824.5405468978,0.8700675727269518
