Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,nobin_,diMuon_pt,ZCR_eff,6519010,6047110.130777009,6022971.172123019,1.0780372539969527,24138.95865399018,6494871.04134601,1.0783500129316828
2022,nobin_,n_jet,ZCR_eff,6519010,6047098.508124862,6022971.172123019,1.078039326007519,24127.336001843214,6494882.663998157,1.0783519426523829
2022,nobin_,diMuon_mass,ZCR_eff,6519010,6047110.130777009,6022971.172123019,1.0780372539969527,24138.95865399018,6494871.04134601,1.0783500129316828
2022EE,nobin_,diMuon_pt,ZCR_eff,17772155,19245626.953071646,19175259.363655694,0.9234386098896884,70367.58941595256,17701787.410584047,0.9231576519969045
2022EE,nobin_,n_jet,ZCR_eff,17772155,19245548.4275985,19175216.94723905,0.9234423776936581,70331.48035944998,17701823.51964055,0.9231615771726304
2022EE,nobin_,diMuon_mass,ZCR_eff,17772155,19245626.95307164,19175259.363655694,0.9234386098896887,70367.58941594511,17701787.410584055,0.9231576519969049
2023,nobin_,diMuon_pt,ZCR_eff,12685456,13440206.596667754,13386401.323751058,0.9438438247775983,53805.2729166951,12631650.727083305,0.9436181107667357
2023,nobin_,n_jet,ZCR_eff,12685456,13440168.69051222,13386384.9333249,0.9438464867598729,53783.75718731992,12631672.24281268,0.9436208734268958
2023,nobin_,diMuon_mass,ZCR_eff,12685456,13440206.596667752,13386401.323751058,0.9438438247775984,53805.27291669324,12631650.727083307,0.943618110766736
2023BPix,nobin_,diMuon_pt,ZCR_eff,6603643,7190780.7238785075,7161971.955451288,0.9183485428878686,28808.768427219242,6574834.231572781,0.9180201029087232
2023BPix,nobin_,n_jet,ZCR_eff,6603643,7190752.982132746,7161957.263180056,0.9183520858536554,28795.71895269025,6574847.28104731,0.9180238082191435
2023BPix,nobin_,diMuon_mass,ZCR_eff,6603643,7190780.7238785075,7161971.955451288,0.9183485428878686,28808.768427219242,6574834.231572781,0.9180201029087232
