Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,nobin_,diMuon_pt,ZCR,6519010,6132368.63709239,6107954.504405513,1.0630492695055809,24414.132686876692,6494595.867313123,1.0633012840270397
2022,nobin_,n_jet,ZCR,6519010,6132356.903629471,6107954.504405513,1.063051303511328,24402.39922395721,6494607.600776043,1.0633032050405167
2022,nobin_,diMuon_mass,ZCR,6519010,6132368.637092388,6107954.504405513,1.0630492695055813,24414.13268687483,6494595.867313125,1.06330128402704
2022EE,nobin_,diMuon_pt,ZCR,17772155,20295656.999638345,20222178.116401713,0.8756629558883798,73478.88323663175,17698676.11676337,0.8752111674067595
2022EE,nobin_,n_jet,ZCR,17772155,20295575.848036535,20222134.498054545,0.875666457215568,73441.34998198971,17698713.65001801,0.8752149112508723
2022EE,nobin_,diMuon_mass,ZCR,17772155,20295656.999638334,20222178.116401713,0.8756629558883804,73478.88323662058,17698676.11676338,0.8752111674067601
2023,nobin_,diMuon_pt,ZCR,12685456,13593954.569375772,13539625.058848968,0.9331689270595017,54329.51052680425,12631126.489473196,0.932900758667463
2023,nobin_,n_jet,ZCR,12685456,13593916.187213806,13539608.379809847,0.9331715618440926,54307.807403959334,12631148.19259604,0.9329035108158302
2023,nobin_,diMuon_mass,ZCR,12685456,13593954.569375768,13539625.058848968,0.9331689270595019,54329.51052680053,12631126.4894732,0.9329007586674632
2023BPix,nobin_,diMuon_pt,ZCR,6603643,7210791.121583514,7181911.302422523,0.9158000680721171,28879.81916099135,6574763.180839009,0.9154614842738704
2023BPix,nobin_,n_jet,ZCR,6603643,7210763.405408816,7181896.664970874,0.9158035881535909,28866.740437942557,6574776.259562057,0.9154651711476165
2023BPix,nobin_,diMuon_mass,ZCR,6603643,7210791.121583507,7181911.302422523,0.915800068072118,28879.81916098483,6574763.180839015,0.9154614842738714
