Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,nobin_,diMuon_pt,ZCR,6519010,6047110.18100318,6022971.2221723795,1.0780372450429758,24138.95883080084,6494871.041169199,1.0783500039415121
2022,nobin_,n_jet,ZCR,6519010,6047098.558350929,6022971.2221723795,1.0780393170535265,24127.336178549565,6494882.66382145,1.0783519336622134
2022,nobin_,diMuon_mass,ZCR,6519010,6047110.1810031785,6022971.2221723795,1.0780372450429763,24138.958830798976,6494871.041169201,1.0783500039415124
2022EE,nobin_,diMuon_pt,ZCR,17772155,19245328.329123545,19174980.755744584,0.9234529386077439,70347.57337896153,17701807.42662104,0.9231721091202555
2022EE,nobin_,n_jet,ZCR,17772155,19245548.27767415,19175216.79753352,0.9234423848873475,70331.48014063016,17701823.51985937,0.9231615843913864
2022EE,nobin_,diMuon_mass,ZCR,17772155,19245626.803148083,19175259.21395112,0.9234386170832813,70367.5891969651,17701787.410803035,0.9231576592155768
2023,nobin_,diMuon_pt,ZCR,12685456,13439954.010548495,13386172.945264775,0.9438615630710999,53781.06528371945,12631674.93471628,0.9436360180289325
2023,nobin_,n_jet,ZCR,12685456,13440168.614533376,13386384.85754319,0.9438464920955474,53783.75699018687,12631672.243009813,0.9436208787835576
2023,nobin_,diMuon_mass,ZCR,12685456,13440206.520688904,13386401.247969467,0.943843830113243,53805.27271943726,12631650.727280563,0.9436181161233763
2023BPix,nobin_,diMuon_pt,ZCR,6603643,7190607.421009724,7161812.230038541,0.9183706762665537,28795.19097118266,6574847.809028817,0.9180424727490286
2023BPix,nobin_,n_jet,ZCR,6603643,7190752.9875944555,7161957.268644291,0.9183520851561245,28795.718950164504,6574847.2810498355,0.9180238075190874
2023BPix,nobin_,diMuon_mass,ZCR,6603643,7190780.729340235,7161971.960915524,0.9183485421903408,28808.76842471119,6574834.231575289,0.9180201022086688
