Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,0,diMuon_pt,ZCR_normalization,4584350,4584349.996921154,4581972.688686833,1.0000000006715992,2377.3082343209535,4581972.691765679,1.0000000006719478
2022,0,n_jet,ZCR_normalization,4584350,4584349.996921153,4581972.688686833,1.0000000006715994,2377.308234320022,4581972.69176568,1.000000000671948
2022,0,diMuon_mass,ZCR_normalization,4584350,4584349.996921152,4581972.688686833,1.0000000006715997,2377.308234319091,4581972.691765681,1.000000000671948
2022EE,0,diMuon_pt,ZCR_normalization,12626226,12626225.693649044,12618691.632961798,1.0000000242630667,7534.060687245801,12618691.939312754,1.000000024277553
2022EE,0,n_jet,ZCR_normalization,12626226,12626226.002746407,12618691.632961798,0.9999999997824839,7534.369784608483,12618691.630215392,0.9999999997823541
2022EE,0,diMuon_mass,ZCR_normalization,12626226,12626226.002746409,12618691.632961798,0.9999999997824838,7534.369784610346,12618691.63021539,0.9999999997823539
2023,0,diMuon_pt,ZCR_normalization,9258511,9258510.810091358,9253180.505872859,1.0000000205117914,5330.30421849899,9253180.695781501,1.0000000205236073
2023,0,n_jet,ZCR_normalization,9258511,9258510.999310516,9253180.505872859,1.0000000000744702,5330.493437657133,9253180.506562343,1.0000000000745133
2023,0,diMuon_mass,ZCR_normalization,9258511,9258510.999310516,9253180.505872859,1.0000000000744702,5330.493437657133,9253180.506562343,1.0000000000745133
2023BPix,0,diMuon_pt,ZCR_normalization,4843192,4843191.870867147,4840326.203627931,1.000000026662758,2865.6672392161563,4840326.332760784,1.0000000266785434
2023BPix,0,n_jet,ZCR_normalization,4843192,4843192.001905893,4840326.203627931,0.99999999960648,2865.7982779620215,4840326.201722038,0.999999999606247
2023BPix,0,diMuon_mass,ZCR_normalization,4843192,4843192.00190589,4840326.203627931,0.9999999996064806,2865.7982779592276,4840326.201722041,0.9999999996062475
2022,1,diMuon_pt,ZCR_normalization,1363664,1363655.9979049533,1358872.5219871067,1.0000058681185424,4783.475917846663,1358880.5240821533,1.000005888775376
2022,1,n_jet,ZCR_normalization,1363664,1363663.9993135827,1358879.7127224468,1.0000000005033625,4784.286591135897,1358879.713408864,1.0000000005051348
