Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,nobin_,diMuon_pt,ZCR_normalization,6622730,6617015.244968959,6583915.103497338,1.0008636454382338,33100.14147162158,6589629.858528378,1.0008679873511743
2022,nobin_,n_jet,ZCR_normalization,6622730,6616996.911281647,6583915.063961342,1.000866418527199,33081.84732030518,6589648.152679695,1.0008707719742216
2022,nobin_,diMuon_mass,ZCR_normalization,6622730,6519195.339480685,6494772.961466983,1.0158815091629947,24422.37801370211,6598307.621986298,1.0159412286054614
2022EE,nobin_,diMuon_pt,ZCR_normalization,18062177,18044439.646129105,17942244.29594808,1.0009829816951228,102195.35018102452,17959981.649818975,1.0009885805576118
2022EE,nobin_,n_jet,ZCR_normalization,18062177,18044342.62316317,17942206.120683722,1.0009883638993828,102136.50247944891,17960040.49752055,1.0009939901881
2022EE,nobin_,diMuon_mass,ZCR_normalization,18062177,17772897.767114587,17699392.444927845,1.0162764247381577,73505.32218674198,17988671.677813258,1.0163440204959302
2023,nobin_,diMuon_pt,ZCR_normalization,12886850,12878105.87449497,12804459.877363402,1.0006789915838747,73645.99713156745,12813204.002868433,1.000682896864747
2023,nobin_,n_jet,ZCR_normalization,12886850,12878055.43504146,12804444.154747996,1.0006829109412443,73611.2802934628,12813238.719706537,1.0006868369178898
2023,nobin_,diMuon_mass,ZCR_normalization,12886850,12685947.622872556,12631599.154395027,1.0158366078041519,54348.46847752854,12832501.531522471,1.0159047460794022
2023BPix,nobin_,diMuon_pt,ZCR_normalization,6708372,6703725.706639173,6664612.836683726,1.0006930912098961,39112.8699554475,6669259.1300445525,1.000697158780965
2023BPix,nobin_,n_jet,ZCR_normalization,6708372,6703691.965917498,6664599.436660266,1.000698127853472,39092.52925723232,6669279.470742768,1.0007022228608007
2023BPix,nobin_,diMuon_mass,ZCR_normalization,6708372,6603894.938510477,6575004.663476868,1.0158205214441356,28890.27503360901,6679481.724966391,1.0158900361044423
2022,nobin_,diMuon_pt,ZCR_normalization,6622730,6617015.244968961,6583915.103497338,1.0008636454382336,33100.14147162344,6589629.858528377,1.0008679873511739
2022,nobin_,n_jet,ZCR_normalization,6622730,6616996.911281647,6583915.063961342,1.000866418527199,33081.84732030518,6589648.152679695,1.0008707719742216
2022,nobin_,diMuon_mass,ZCR_normalization,6622730,6519195.339480682,6494772.961466983,1.0158815091629951,24422.378013699315,6598307.621986301,1.0159412286054619
2022EE,nobin_,diMuon_pt,ZCR_normalization,18062177,18044439.646129116,17942244.29594808,1.0009829816951223,102195.3501810357,17959981.649818964,1.000988580557611
2022EE,nobin_,n_jet,ZCR_normalization,18062177,18044342.62316317,17942206.120683722,1.0009883638993828,102136.50247944891,17960040.49752055,1.0009939901881
2022EE,nobin_,diMuon_mass,ZCR_normalization,18062177,17772897.767114595,17699392.444927845,1.0162764247381573,73505.32218674943,17988671.67781325,1.0163440204959298
2023,nobin_,diMuon_pt,ZCR_normalization,12886850,12878105.874494974,12804459.877363402,1.0006789915838745,73645.99713157117,12813204.002868429,1.0006828968647468
