Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio
2022,nobin_,diMuon_pt,ZCR_normalization,6622730,6616912.19559473,6583823.0924684405,1.0008792325231615
2022,nobin_,n_jet,ZCR_normalization,6622730,6616996.911281647,6583915.063961342,1.000866418527199
2022,nobin_,diMuon_mass,ZCR_normalization,6622730,6519195.339480682,6494772.961466983,1.0158815091629951
2022EE,nobin_,diMuon_pt,ZCR_normalization,18062177,18044150.74458882,17941977.062212273,1.0009990082474005
2022EE,nobin_,n_jet,ZCR_normalization,18062177,18044342.623163175,17942206.12068373,1.0009883638993826
2022EE,nobin_,diMuon_mass,ZCR_normalization,18062177,17772897.767114602,17699392.444927856,1.0162764247381568
2023,nobin_,diMuon_pt,ZCR_normalization,12886850,12877861.279122239,12804240.956624547,1.0006979979581185
2023,nobin_,n_jet,ZCR_normalization,12886850,12878055.435041461,12804444.154747996,1.0006829109412443
2023,nobin_,diMuon_mass,ZCR_normalization,12886850,12685947.622872557,12631599.154395029,1.0158366078041516
2023BPix,nobin_,diMuon_pt,ZCR_normalization,6708372,6703562.9491098765,6664464.045714865,1.0007173872948805
2023BPix,nobin_,n_jet,ZCR_normalization,6708372,6703691.965917498,6664599.436660266,1.000698127853472
2023BPix,nobin_,diMuon_mass,ZCR_normalization,6708372,6603894.938510476,6575004.663476867,1.0158205214441358
