Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,0,diMuon_pt,ZCR_self_reweighting,4584350,4699860.178039638,4697482.869805317,0.9754226352138377,2377.3082343209535,4581972.691765679,0.9754101970691326
2022,0,n_jet,ZCR_self_reweighting,4584350,4699860.178039637,4697482.869805317,0.9754226352138378,2377.308234320022,4581972.69176568,0.9754101970691328
2022,0,diMuon_mass,ZCR_self_reweighting,4584350,4699860.178039636,4697482.869805317,0.975422635213838,2377.308234319091,4581972.691765681,0.975410197069133
2022EE,0,diMuon_pt,ZCR_self_reweighting,12626226,12747722.99601587,12740188.935328623,0.9904691217361845,7534.060687245801,12618691.939312754,0.9904634855391385
2022EE,0,n_jet,ZCR_self_reweighting,12626226,12747723.305113232,12740188.935328623,0.990469097720022,7534.369784608483,12618691.630215392,0.9904634612775389
2022EE,0,diMuon_mass,ZCR_self_reweighting,12626226,12747723.305113234,12740188.935328623,0.9904690977200219,7534.369784610346,12618691.63021539,0.9904634612775388
2023,0,diMuon_pt,ZCR_self_reweighting,9258511,9166467.825037258,9161137.520818759,1.0100412914461268,5330.30421849899,9253180.695781501,1.0100471338579486
2023,0,n_jet,ZCR_self_reweighting,9258511,9166468.014256416,9161137.520818759,1.0100412705963115,5330.493437657133,9253180.506562343,1.0100471132034003
2023,0,diMuon_mass,ZCR_self_reweighting,9258511,9166468.014256416,9161137.520818759,1.0100412705963115,5330.493437657133,9253180.506562343,1.0100471132034003
2023BPix,0,diMuon_pt,ZCR_self_reweighting,4843192,4899588.841369057,4896723.174129842,0.9884894746896152,2865.667239215225,4840326.332760785,0.988482738483766
2023BPix,0,n_jet,ZCR_self_reweighting,4843192,4899588.972407804,4896723.174129842,0.9884894482526176,2865.7982779620215,4840326.201722038,0.9884827117232687
2023BPix,0,diMuon_mass,ZCR_self_reweighting,4843192,4899588.972407801,4896723.174129842,0.9884894482526182,2865.7982779592276,4840326.201722041,0.9884827117232693
2022,1,diMuon_pt,ZCR_self_reweighting,1363664,1368101.4435235902,1363317.9676057436,0.9967564952550876,4783.475917846663,1358880.5240821533,0.9967451147648386
2022,1,n_jet,ZCR_self_reweighting,1363664,1368109.4449322196,1363325.1583410837,0.9967506657097599,4784.286591135897,1358879.713408864,0.9967392628933593
2022,1,diMuon_mass,ZCR_self_reweighting,1363664,1368109.4449322193,1363325.1583410837,0.9967506657097601,4784.286591135664,1358879.7134088643,0.9967392628933595
2022EE,1,diMuon_pt,ZCR_self_reweighting,3660023,3670305.262642355,3655400.4684162075,0.9971985265784261,14904.7942261477,3645118.2057738523,0.9971871036480963
2022EE,1,n_jet,ZCR_self_reweighting,3660023,3670352.7668006066,3655445.9421570236,0.997185620168709,14906.824643583037,3645116.175356417,0.9971741431923594
2022EE,1,diMuon_mass,ZCR_self_reweighting,3660023,3670352.7668006066,3655445.9421570236,0.997185620168709,14906.824643583037,3645116.175356417,0.9971741431923594
2023,1,diMuon_pt,ZCR_self_reweighting,2481417,2490810.862954639,2479991.2333404887,0.9962285924257228,10819.629614150152,2470597.37038585,0.9962121386445445
2023,1,n_jet,ZCR_self_reweighting,2481417,2490845.320010295,2480024.078578459,0.9962148111187185,10821.241431836039,2470595.758568164,0.9961982949715152
2023,1,diMuon_mass,ZCR_self_reweighting,2481417,2490845.320010294,2480024.078578459,0.9962148111187188,10821.241431835108,2470595.758568165,0.9961982949715156
2023BPix,1,diMuon_pt,ZCR_self_reweighting,1277501,1281489.896569936,1275673.1575594873,0.9968872976832569,5816.7390104488,1271684.2609895512,0.9968731045673429
2023BPix,1,n_jet,ZCR_self_reweighting,1277501,1281514.4229294807,1275696.912233326,0.9968682186812177,5817.510696154786,1271683.4893038452,0.9968539369414523
2023BPix,1,diMuon_mass,ZCR_self_reweighting,1277501,1281514.4229294807,1275696.912233326,0.9968682186812177,5817.510696154786,1271683.4893038452,0.9968539369414523
2022,2,diMuon_pt,ZCR_self_reweighting,570996,572497.1060326801,555529.3774478566,0.997377967474661,16967.728584823548,554028.2714151765,0.9972978818157623
2022,2,n_jet,ZCR_self_reweighting,570996,572587.657706534,555621.9165301453,0.9972202374865897,16965.741176388692,554030.2588236113,0.9971353583089848
2022,2,diMuon_mass,ZCR_self_reweighting,570996,572599.2803586796,555621.9165301453,0.9971999958545612,16977.36382853426,554018.6361714657,0.9971144400338056
2022EE,2,diMuon_pt,ZCR_self_reweighting,1485906,1487744.82380807,1439836.105123762,0.9987640193542309,47908.718684308,1437997.281315692,0.9987228936671845
