Era,Njet,Variable,Region,Data_Events,MC_Events,DY_count,Ratio,no_DY_bkg,Right_DY,DY_factor
2022,nobin_,diMuon_pt,ZCR_self_reweighting,6519010,6545808.251870126,6521669.293039326,0.9959060438621204,24138.95883080084,6494871.041169199,0.9958908907112588
2022,nobin_,n_jet,ZCR_self_reweighting,6519010,6545796.629217875,6521669.293039326,0.9959078121831176,24127.336178549565,6494882.66382145,0.9958926728703547
2022,nobin_,diMuon_mass,ZCR_self_reweighting,6519010,6545808.251870125,6521669.293039326,0.9959060438621207,24138.958830798976,6494871.041169201,0.995890890711259
2022EE,nobin_,diMuon_pt,ZCR_self_reweighting,17772155,17833940.5887092,17763593.01533024,0.9965355055209549,70347.57337896153,17701807.42662104,0.9965217853924102
2022EE,nobin_,n_jet,ZCR_self_reweighting,17772155,17834134.97966467,17763803.499524042,0.996524643346294,70331.48014062643,17701823.519859374,0.9965108835128508
2022EE,nobin_,diMuon_mass,ZCR_self_reweighting,17772155,17834217.66535542,17763850.07615845,0.9965200231083876,70367.58919697255,17701787.410803027,0.9965062379445142
2023,nobin_,diMuon_pt,ZCR_self_reweighting,12685456,12752625.251489623,12698844.186205903,0.9947329079177814,53781.06528371945,12631674.93471628,0.9947106011771855
2023,nobin_,n_jet,ZCR_self_reweighting,12685456,12752827.68847564,12699043.931485454,0.9947171176368578,53783.75699018687,12631672.243009813,0.9946947432547578
2023,nobin_,diMuon_mass,ZCR_self_reweighting,12685456,12752864.88949487,12699059.616775433,0.994714215975863,53805.27271943726,12631650.727280563,0.9946918203765401
2023BPix,nobin_,diMuon_pt,ZCR_self_reweighting,6603643,6631954.821936689,6603159.630965505,0.9957309989743836,28795.190971184522,6574847.8090288155,0.9957123826290794
2023BPix,nobin_,n_jet,ZCR_self_reweighting,6603643,6632086.043208883,6603290.324258719,0.9957112976183401,28795.718950164504,6574847.2810498355,0.9956925953862136
2023BPix,nobin_,diMuon_mass,ZCR_self_reweighting,6603643,6632115.035548325,6603306.2671236135,0.9957069448591115,28808.76842471119,6574834.231575289,0.9956882152066638
